,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Export OF QUERY RESULTS FROM EyeOnWater
25607,1,3/5/2024 10:29:24 PM,1,3/5/2024 10:29:21 PM,48.772548981703,9.1646722306009,1020206,6236355,0,png,3/5/2024 12:06:54 PM,iOS,"iPad11,6",F4632B6A-8938-46C9-8C54-481BE74289B2,0,1,1,14,17,0,18,australia,0,,,,,,100,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25607.png,?,0,1,,,,36.348352914975,,,,,,,0,179.33131126073,5,0,0,0,0,,0,36.348352914975,17,http://www.eyeonwater.org/media/eyeonwater_upload/25607.png,
25606,1,3/5/2024 10:29:24 PM,1,3/5/2024 1:07:35 PM,48.772857154215,9.1646520011449,1020204,6236407,0,png,3/5/2024 12:08:49 PM,iOS,"iPhone13,2",A81E774F-B655-44A9-9C11-D357967EC50B,4,1,,14,5,0,0.3,australia,0,,,,,,100,0,6.75,0,0,https://eyeonwater.org/media/eyeonwater_upload/25606.png,?,0,1,,,,168.63456481238,,,,,,,0,308.68740392566,1,0,0,0,0,,0,168.63456481238,5,http://www.eyeonwater.org/media/eyeonwater_upload/25606.png,
25605,1,3/5/2024 1:07:37 PM,1,3/5/2024 1:07:34 PM,48.772906889253,9.1646316927012,1020202,6236415,0,png,2/28/2024 7:47:21 AM,iOS,"iPhone13,2",A81E774F-B655-44A9-9C11-D357967EC50B,9,,,17,16,0,0,australia,0,,,,,,75,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25605.png,?,0,1,,,41.68790594053,42.195140905884,,,,,,28.326398009192,19,29.46342811043,19,0,0,0,0,41.68790594053,16,42.195140905884,16,http://www.eyeonwater.org/media/eyeonwater_upload/25605.png,
25593,1,2/28/2024 3:03:57 PM,1,2/28/2024 3:03:56 PM,48.772705555939,9.1648078803058,1020221,6236381,0,png,2/28/2024 1:46:01 PM,iOS,"iPhone14,2",FF98C46E-F6AA-4687-9729-364160766E5F,3,,,14,18,0,0,australia,0,,,,,,100,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25593.png,?,0,1,,,,31.429661164653,,,,,,,0,169.62826515265,5,0,0,0,0,,0,31.429661164653,18,http://www.eyeonwater.org/media/eyeonwater_upload/25593.png,
25589,1,2/28/2024 2:44:55 PM,1,2/28/2024 2:44:53 PM,48.77281751453,9.1649859415549,1020241,6236400,10,png,2/28/2024 1:46:00 PM,iOS,"iPhone13,3",D43B3807-2E62-4812-BC5D-5211BD9B7AAE,0,,,13,14,0,0.51,australia,695,695,Netti,410,39,3,100,0,6.5,0,0,https://eyeonwater.org/media/eyeonwater_upload/25589.png,?,0,1,,,56.317480922604,58.160436950005,,,,,,,0,47.630754472701,15,0,0,0,0,56.317480922604,14,58.160436950005,13,http://www.eyeonwater.org/media/eyeonwater_upload/25589.png,Netti
25588,1,2/28/2024 2:44:55 PM,1,2/28/2024 2:44:08 PM,48.772921188042,9.1653531478281,1020282,6236418,10,png,2/28/2024 1:45:16 PM,iOS,"iPhone12,1",2FFAB310-6580-4CFB-92B3-1FFA9ED4FE0E,10,,,10,16,0,0,australia,1434,1434,Mika,80,3,1,100,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25588.png,?,0,1,,,43.202569957922,44.206638292732,,,,,,35.917727795798,17,35.615606998444,17,0,0,0,0,43.202569957922,16,44.206638292732,16,http://www.eyeonwater.org/media/eyeonwater_upload/25588.png,Mika
25587,1,2/28/2024 2:43:42 PM,1,2/28/2024 2:43:41 PM,48.772801320676,9.1648947898603,1020231,6236398,10,png,2/28/2024 1:44:48 PM,iOS,"iPhone12,1",2FFAB310-6580-4CFB-92B3-1FFA9ED4FE0E,2,,,9,14,0,0,australia,1434,1434,Mika,80,3,1,100,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25587.png,?,0,1,,,54.05171995697,54.706028654033,,,,,,,0,32.17380880554,18,0,0,0,0,54.05171995697,14,54.706028654033,14,http://www.eyeonwater.org/media/eyeonwater_upload/25587.png,Mika
25579,1,2/28/2024 9:21:36 AM,1,2/28/2024 9:21:35 AM,48.772894101029,9.1654842981536,1020297,6236413,0,png,2/28/2024 8:03:53 AM,iOS,"iPad11,6",F4632B6A-8938-46C9-8C54-481BE74289B2,0,,,9,16,0,0.55,australia,0,,,,,,100,0,6.5,0,0,https://eyeonwater.org/media/eyeonwater_upload/25579.png,?,0,1,,,43.810740577864,42.863041754233,,,,,,,0,28.326322089471,19,0,0,0,0,43.810740577864,16,42.863041754233,16,http://www.eyeonwater.org/media/eyeonwater_upload/25579.png,
25578,1,2/28/2024 9:03:10 AM,1,2/28/2024 9:03:08 AM,48.773122050943,9.164617382142,1020200,6236452,0,png,2/28/2024 8:04:15 AM,iOS,"iPhone14,5",23A31468-2748-4900-80DA-C0F8469A2860,0,,,6,15,0,0,australia,0,,,,,,100,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25578.png,?,0,1,,,,45.354200950468,,,,,,,0,102.84758908887,8,0,0,0,0,,0,45.354200950468,15,http://www.eyeonwater.org/media/eyeonwater_upload/25578.png,
25577,1,2/28/2024 8:58:50 AM,1,2/28/2024 8:58:47 AM,48.772760247857,9.1650845669295,1020252,6236391,0,png,2/28/2024 7:59:54 AM,iOS,"iPhone14,5",23A31468-2748-4900-80DA-C0F8469A2860,0,,,6,21,0,0,australia,0,,,,,,100,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25577.png,?,0,1,,,,16.780267068036,,,,,,,0,316.69977670272,1,0,0,0,0,,0,16.780267068036,21,http://www.eyeonwater.org/media/eyeonwater_upload/25577.png,
25576,1,2/28/2024 8:58:50 AM,1,2/28/2024 8:57:24 AM,48.6828026,9.0127067,1003289,6221210,10,png,9/21/2023 3:19:49 PM,Android,Pixel 3a,778ba90dd5718e7f,1,,,14,21,0,0.58,australia,254,254,reiner,310,26,3,75,0,7,0,0,https://eyeonwater.org/media/eyeonwater_upload/25576.png,?,0,1,,,,18.587605279092,,,,,,,0,324.87031374419,1,0,0,0,0,,0,18.587605279092,21,http://www.eyeonwater.org/media/eyeonwater_upload/25576.png,reiner
25575,1,2/28/2024 8:57:26 AM,1,2/28/2024 8:57:24 AM,48.7729483,9.1638704,1020117,6236422,10,png,2/28/2024 7:58:29 AM,Android,Pixel 3a,778ba90dd5718e7f,2,,,14,21,0,0,australia,254,254,reiner,310,26,3,100,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25575.png,?,0,1,,,,13.798902313911,,,,,,,0,308.63608335453,1,0,0,0,0,,0,13.798902313911,21,http://www.eyeonwater.org/media/eyeonwater_upload/25575.png,reiner
25574,1,2/28/2024 8:56:07 AM,1,2/28/2024 8:56:06 AM,48.773055450562,9.1650568100339,1020249,6236441,10,png,2/28/2024 7:57:13 AM,iOS,"iPhone13,3",D43B3807-2E62-4812-BC5D-5211BD9B7AAE,1,,,12,14,0,0.55,australia,695,695,Netti,410,39,3,75,0,6.75,0,0,https://eyeonwater.org/media/eyeonwater_upload/25574.png,?,0,1,,,54.412312501494,56.436328581742,,,,,,47.271131228108,15,46.579787307009,15,0,0,0,0,54.412312501494,14,56.436328581742,13,http://www.eyeonwater.org/media/eyeonwater_upload/25574.png,Netti
25532,1,2/15/2024 3:56:53 PM,1,2/15/2024 3:56:52 PM,48.8179,9.2090556,1025147,6244019,10,png,2/15/2024 2:58:13 PM,Android,EML-L29,b6e3791601afcbc7,1,,,5,21,0,63,australia,720,720,mertcan,260,21,3,100,0,6,0,0,https://eyeonwater.org/media/eyeonwater_upload/25532.png,?,0,1,,,,17.231331550786,,,,,,,0,324.87031374419,1,0,0,0,0,,0,17.231331550786,21,http://www.eyeonwater.org/media/eyeonwater_upload/25532.png,mertcan
25489,1,1/31/2024 5:47:26 PM,1,1/31/2024 10:21:03 AM,48.474836102865,9.1865755975008,1022644,6186217,0,png,1/31/2024 9:22:07 AM,iOS,"iPhone15,2",CD54E424-0B79-4620-ADCB-AFFC3A071B92,-6,,,16,15,0,0,eowcolor,0,,,,,,75,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25489.png,?,0,1,,,48.56950878734,50.155276849449,,,,,,44.028216046328,16,45.048836711176,16,0,0,0,0,48.56950878734,15,50.155276849449,15,http://www.eyeonwater.org/media/eyeonwater_upload/25489.png,
25487,1,1/31/2024 10:14:46 AM,1,1/31/2024 10:14:44 AM,48.486486486486,9.1884741130079,1022856,6188173,10,png,1/31/2024 9:15:48 AM,Android,SM-S918B,3903db03b55a701a,-3,,,18,8,0,0,eowcolor,1404,1404,David,60,1,1,0,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25487.png,?,0,1,,,,103.67726189911,,,,,,,0,162.17467509135,6,0,0,0,0,,0,103.67726189911,8,http://www.eyeonwater.org/media/eyeonwater_upload/25487.png,David
25486,1,1/31/2024 10:04:06 AM,1,1/31/2024 10:04:03 AM,48.476915017864,9.1849484761707,1022463,6186566,0,png,1/31/2024 9:05:07 AM,iOS,"iPhone16,2",C531E008-E6EA-4536-9990-AFA40DA899E5,21,,,17,1,0,0,eowcolor,0,,,,,,100,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25486.png,?,0,1,,,,235.04030379319,,,,,,,0,241.00487488265,1,0,0,0,0,,0,235.04030379319,1,http://www.eyeonwater.org/media/eyeonwater_upload/25486.png,
25399,1,1/10/2024 5:19:02 PM,1,1/10/2024 5:19:00 PM,48.8315026,9.216294,1025953,6246319,10,png,1/10/2024 4:19:50 PM,Android,EML-L29,b6e3791601afcbc7,2,,,4,21,0,72,australia,720,720,mertcan,260,21,3,0,0,6,0,0,https://eyeonwater.org/media/eyeonwater_upload/25399.png,?,0,1,,,,17.231331550786,,,,,,,0,324.87031374419,1,0,0,0,0,,0,17.231331550786,21,http://www.eyeonwater.org/media/eyeonwater_upload/25399.png,mertcan
25139,1,11/9/2023 1:21:03 PM,1,11/9/2023 1:21:02 PM,48.47688122943,9.1848159916858,1022449,6186560,0,png,11/9/2023 12:21:21 PM,iOS,"iPhone12,1",954C2D8A-DDC4-4C67-A71A-FDECD01C99BA,0,,,17,16,0,78,eowcolor,0,,,,,,100,9,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25139.png,?,0,1,,,42.396256580607,43.171682937123,,,,,,39.680264091229,17,40.74774343539,16,0,0,0,0,42.396256580607,16,43.171682937123,16,http://www.eyeonwater.org/media/eyeonwater_upload/25139.png,
25138,1,11/9/2023 1:00:59 PM,1,11/9/2023 1:00:58 PM,48.4766002,9.1820147,1022137,6186513,0,png,11/9/2023 12:01:15 PM,Android,SM-G991B,8a07cf111df264a7,19,,,15,16,0,78,eowcolor,0,,,,,,100,9,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25138.png,?,0,1,,,,43.06378365576,,,,,,,0,36.519914111051,17,0,0,0,0,,0,43.06378365576,16,http://www.eyeonwater.org/media/eyeonwater_upload/25138.png,
25127,1,11/7/2023 10:19:59 AM,1,11/7/2023 10:19:57 AM,48.4716737,9.1649003,1020232,6185686,10,png,11/7/2023 9:20:14 AM,Android,SM-G998B,71479e7e904b732c,-1,,,17,16,0,76,eowcolor,1306,1306,Bahadir,60,1,1,50,9.8,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25127.png,?,0,1,,,43.49491882052,43.808918608496,,,,,,40.40836449076,16,40.910823436689,16,0,0,0,0,43.49491882052,16,43.808918608496,16,http://www.eyeonwater.org/media/eyeonwater_upload/25127.png,Bahadir
25068,1,10/25/2023 5:33:25 PM,1,10/25/2023 5:33:23 PM,48.8305194,9.2127536,1025559,6246152,10,png,10/25/2023 3:33:24 PM,Android,EML-L29,b6e3791601afcbc7,2,1,,5,21,0,74,australia,720,720,mertcan,260,21,3,100,0,6,0,0,https://eyeonwater.org/media/eyeonwater_upload/25068.png,?,0,1,,,,17.231331550786,,,,,,,0,324.87031374419,1,0,0,0,0,,0,17.231331550786,21,http://www.eyeonwater.org/media/eyeonwater_upload/25068.png,mertcan
25044,1,10/18/2023 4:54:10 PM,1,10/18/2023 4:54:08 PM,48.8382182,9.2064949,1024862,6247454,10,png,10/18/2023 2:54:13 PM,Android,EML-L29,b6e3791601afcbc7,7,,,5,21,0,73,australia,720,720,mertcan,260,21,3,100,0,6,0,0,https://eyeonwater.org/media/eyeonwater_upload/25044.png,?,0,1,,,,17.231331550786,,,,,,,0,324.87031374419,1,0,0,0,0,,0,17.231331550786,21,http://www.eyeonwater.org/media/eyeonwater_upload/25044.png,mertcan
25037,1,10/15/2023 3:00:29 PM,1,10/15/2023 3:00:27 PM,48.8356323,9.2073636,1024959,6247017,10,png,10/15/2023 1:05:17 PM,Android,EML-L29,b6e3791601afcbc7,6,,,5,21,0,70,australia,720,720,mertcan,260,21,3,25,0,5,0,0,https://eyeonwater.org/media/eyeonwater_upload/25037.png,?,0,1,,,,17.231331550786,,,,,,,0,324.87031374419,1,0,0,0,0,,0,17.231331550786,21,http://www.eyeonwater.org/media/eyeonwater_upload/25037.png,mertcan
25028,1,10/13/2023 9:14:53 PM,1,10/13/2023 9:14:52 PM,48.8311938,9.2161929,1025941,6246266,10,png,10/2/2023 2:42:29 PM,Android,EML-L29,b6e3791601afcbc7,10,,,5,21,0,2.3,australia,720,720,mertcan,260,21,3,25,0,6,0,0,https://eyeonwater.org/media/eyeonwater_upload/25028.png,?,0,1,,,,17.231331550786,,,,,,,0,324.87031374419,1,0,0,0,0,,0,17.231331550786,21,http://www.eyeonwater.org/media/eyeonwater_upload/25028.png,mertcan
25026,1,10/13/2023 6:29:47 PM,1,10/13/2023 6:29:45 PM,48.8311938,9.2161929,1025941,6246266,10,png,10/2/2023 2:42:29 PM,Android,EML-L29,b6e3791601afcbc7,10,,,5,21,0,2.3,australia,720,720,mertcan,260,21,3,25,0,6,0,0,https://eyeonwater.org/media/eyeonwater_upload/25026.png,?,0,1,,,,17.231331550786,,,,,,,0,324.87031374419,1,0,0,0,0,,0,17.231331550786,21,http://www.eyeonwater.org/media/eyeonwater_upload/25026.png,mertcan
25025,1,10/13/2023 5:35:30 PM,1,10/13/2023 5:35:27 PM,48.8176554,9.2087756,1025116,6243977,10,png,9/22/2023 3:59:46 PM,Android,EML-L29,b6e3791601afcbc7,12,,,7,21,0,0,australia,720,720,mertcan,260,21,3,25,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25025.png,?,0,1,,,,17.231331550786,,,,,,,0,324.87031374419,1,0,0,0,0,,0,17.231331550786,21,http://www.eyeonwater.org/media/eyeonwater_upload/25025.png,mertcan
25024,1,10/13/2023 5:35:30 PM,1,10/13/2023 5:33:25 PM,48.8324292,9.2165974,1025986,6246475,10,png,10/13/2023 3:38:11 PM,Android,EML-L29,b6e3791601afcbc7,7,,,5,21,0,71,australia,720,720,mertcan,260,21,3,0,0,6,0,0,https://eyeonwater.org/media/eyeonwater_upload/25024.png,?,0,1,,,,17.231331550786,,,,,,,0,324.87031374419,1,0,0,0,0,,0,17.231331550786,21,http://www.eyeonwater.org/media/eyeonwater_upload/25024.png,mertcan
25023,1,10/13/2023 5:33:26 PM,1,10/13/2023 5:33:24 PM,48.8311938,9.2161929,1025941,6246266,10,png,10/2/2023 2:42:29 PM,Android,EML-L29,b6e3791601afcbc7,10,,,5,21,0,2.3,australia,720,720,mertcan,260,21,3,25,0,6,0,0,https://eyeonwater.org/media/eyeonwater_upload/25023.png,?,0,1,,,,17.231331550786,,,,,,,0,324.87031374419,1,0,0,0,0,,0,17.231331550786,21,http://www.eyeonwater.org/media/eyeonwater_upload/25023.png,mertcan
25012,1,10/11/2023 5:34:08 PM,1,10/10/2023 1:23:22 PM,48.8176554,9.2087756,1025116,6243977,10,png,9/22/2023 3:59:46 PM,Android,EML-L29,b6e3791601afcbc7,12,,,7,21,0,0,australia,720,720,mertcan,260,21,3,25,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25012.png,?,0,1,,,,17.231331550786,,,,,,,0,324.87031374419,1,0,0,0,0,,0,17.231331550786,21,http://www.eyeonwater.org/media/eyeonwater_upload/25012.png,mertcan
25011,1,10/11/2023 5:34:08 PM,1,10/10/2023 1:23:22 PM,48.8311938,9.2161929,1025941,6246266,10,png,10/2/2023 2:42:29 PM,Android,EML-L29,b6e3791601afcbc7,10,,,5,21,0,2.3,australia,720,720,mertcan,260,21,3,25,0,6,0,0,https://eyeonwater.org/media/eyeonwater_upload/25011.png,?,0,1,,,,17.231331550786,,,,,,,0,324.87031374419,1,0,0,0,0,,0,17.231331550786,21,http://www.eyeonwater.org/media/eyeonwater_upload/25011.png,mertcan
25010,1,10/11/2023 5:34:08 PM,1,10/10/2023 1:23:22 PM,48.8311938,9.2161929,1025941,6246266,10,png,10/2/2023 2:42:29 PM,Android,EML-L29,b6e3791601afcbc7,10,,,5,21,0,2.3,australia,720,720,mertcan,260,21,3,25,0,6,0,0,https://eyeonwater.org/media/eyeonwater_upload/25010.png,?,0,1,,,,17.231331550786,,,,,,,0,324.87031374419,1,0,0,0,0,,0,17.231331550786,21,http://www.eyeonwater.org/media/eyeonwater_upload/25010.png,mertcan
24997,1,10/8/2023 3:48:24 PM,1,10/8/2023 3:22:05 PM,48.8311938,9.2161929,1025941,6246266,10,png,10/8/2023 1:26:55 PM,Android,EML-L29,b6e3791601afcbc7,5,,,5,21,0,72,australia,720,720,mertcan,260,21,3,0,0,6,0,0,https://eyeonwater.org/media/eyeonwater_upload/24997.png,?,0,1,,,,17.231331550786,,,,,,,0,324.87031374419,1,0,0,0,0,,0,17.231331550786,21,http://www.eyeonwater.org/media/eyeonwater_upload/24997.png,mertcan
24996,1,10/8/2023 3:22:07 PM,1,10/8/2023 3:22:05 PM,48.8311938,9.2161929,1025941,6246266,10,png,10/2/2023 2:42:29 PM,Android,EML-L29,b6e3791601afcbc7,10,,,5,21,0,2.3,australia,720,720,mertcan,260,21,3,25,0,6,0,0,https://eyeonwater.org/media/eyeonwater_upload/24996.png,?,0,1,,,,17.231331550786,,,,,,,0,324.87031374419,1,0,0,0,0,,0,17.231331550786,21,http://www.eyeonwater.org/media/eyeonwater_upload/24996.png,mertcan
24965,1,10/6/2023 3:20:19 PM,1,10/6/2023 3:20:13 PM,48.8115634,9.2041394,1024600,6242947,10,png,10/6/2023 1:25:00 PM,Android,EML-L29,62d67f2119b9ce3b,-2,,,2,21,0,0,eowcolor,720,720,mertcan,260,21,3,0,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/24965.png,?,0,1,,,,17.231331550786,,,,,,,0,324.87031374419,1,0,0,0,0,,0,17.231331550786,21,http://www.eyeonwater.org/media/eyeonwater_upload/24965.png,mertcan
24959,1,10/6/2023 9:48:38 AM,1,10/6/2023 9:48:37 AM,48.772830947329,9.1652300648134,1020268,6236403,0,png,10/6/2023 7:53:23 AM,iOS,"iPhone13,3",D43B3807-2E62-4812-BC5D-5211BD9B7AAE,-1,,,14,7,0,0.41,australia,0,,,,,,0,0,7.8,0,0,https://eyeonwater.org/media/eyeonwater_upload/24959.png,?,0,1,,,129.83130764911,122.59015455719,,,,,,,0,146.62112329256,6,0,0,0,0,129.83130764911,7,122.59015455719,7,http://www.eyeonwater.org/media/eyeonwater_upload/24959.png,
24890,1,9/22/2023 5:54:12 PM,1,9/21/2023 5:17:12 PM,48.6815009,9.014518,1003491,6220990,10,png,9/21/2023 3:21:56 PM,Android,SM-G991B,4c6e7ed3819a0f3b,3,,,16,11,0,0.58,australia,794,794,fauserja,250,20,3,100,0,7,0,0,https://eyeonwater.org/media/eyeonwater_upload/24890.png,?,0,1,,,72.367968906355,71.660313105282,,,,,,,0,67.537367433042,12,0,0,0,0,72.367968906355,11,71.660313105282,11,http://www.eyeonwater.org/media/eyeonwater_upload/24890.png,fauserja
24889,1,9/21/2023 5:17:04 PM,1,9/21/2023 5:17:02 PM,48.682293601638,9.013172824801,1003341,6221124,0,png,9/21/2023 3:21:46 PM,iOS,"iPhone13,3",D43B3807-2E62-4812-BC5D-5211BD9B7AAE,2,,,15,12,0,0.5,australia,0,,,,,,100,0,7,0,0,https://eyeonwater.org/media/eyeonwater_upload/24889.png,?,0,1,,,62.595893637068,66.155937435486,,,,,,57.451659822309,13,61.810645327164,13,0,0,0,0,62.595893637068,12,66.155937435486,12,http://www.eyeonwater.org/media/eyeonwater_upload/24889.png,
24888,1,9/21/2023 5:17:04 PM,1,9/21/2023 5:16:25 PM,48.6816225,9.0126446,1003283,6221011,10,png,9/21/2023 3:21:07 PM,Android,SM-G991B,4c6e7ed3819a0f3b,17,,,14,,0,0.58,australia,794,794,fauserja,250,20,3,100,0,7,0,0,https://eyeonwater.org/media/eyeonwater_upload/24888.png,?,0,1,,,,,,,,,,,,,,0,0,0,0,,,,,http://www.eyeonwater.org/media/eyeonwater_upload/24888.png,fauserja
24887,1,9/21/2023 5:15:07 PM,1,9/21/2023 5:15:06 PM,48.6828026,9.0127067,1003289,6221210,10,png,9/21/2023 3:19:49 PM,Android,Pixel 3a,778ba90dd5718e7f,1,,,14,21,0,0.58,australia,254,254,reiner,310,26,3,75,0,7,0,0,https://eyeonwater.org/media/eyeonwater_upload/24887.png,?,0,1,,,,18.587605279092,,,,,,,0,324.87031374419,1,0,0,0,0,,0,18.587605279092,21,http://www.eyeonwater.org/media/eyeonwater_upload/24887.png,reiner
24662,1,8/16/2023 4:08:57 PM,1,8/16/2023 4:08:55 PM,48.9207698,9.1668737,1020451,6261428,0,png,8/16/2023 2:14:04 PM,Android,2201117TY,96dbe6aa8ff88802,5,,,5,14,0,0,eowcolor,0,,,,,,50,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/24662.png,?,0,1,,,55.021368179135,59.219694293211,,,,,,52.292648345025,14,56.85244422415,13,0,0,0,0,55.021368179135,14,59.219694293211,13,http://www.eyeonwater.org/media/eyeonwater_upload/24662.png,
24661,1,8/16/2023 4:07:52 PM,1,8/16/2023 4:07:50 PM,48.9207969,9.1660081,1020355,6261432,0,png,8/16/2023 2:12:58 PM,Android,2201117TY,96dbe6aa8ff88802,0,,,6,12,0,0,eowcolor,0,,,,,,50,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/24661.png,?,0,1,,,63.667724045878,65.640219211552,,,,,,61.590270072607,13,63.585689694339,12,0,0,0,0,63.667724045878,12,65.640219211552,12,http://www.eyeonwater.org/media/eyeonwater_upload/24661.png,
24534,1,7/25/2023 12:34:47 PM,1,7/25/2023 12:34:47 PM,48.772551748016,9.1646539047446,1020204,6236355,0,png,7/25/2023 10:39:19 AM,iOS,"iPhone13,3",D43B3807-2E62-4812-BC5D-5211BD9B7AAE,0,,,10,12,0,0.28,australia,0,,,,,,50,0,7,0,0,https://eyeonwater.org/media/eyeonwater_upload/24534.png,?,0,1,,,66.01866913654,67.766436594543,,,,,,62.160846125689,12,64.237419296282,12,0,0,0,0,66.01866913654,12,67.766436594543,12,http://www.eyeonwater.org/media/eyeonwater_upload/24534.png,
24533,1,7/25/2023 10:08:32 AM,1,7/25/2023 10:08:31 AM,48.7725716,9.1648139,1020222,6236359,0,png,7/25/2023 8:13:04 AM,Android,SM-G991B,4c6e7ed3819a0f3b,6,,,14,12,0,0.3,australia,0,,,,,,75,0,7,0,0,https://eyeonwater.org/media/eyeonwater_upload/24533.png,?,0,1,,,67.30359723907,68.125896349998,,,,,,63.281424826142,12,64.496781839994,12,0,0,0,0,67.30359723907,12,68.125896349998,11,http://www.eyeonwater.org/media/eyeonwater_upload/24533.png,
24532,1,7/25/2023 10:08:04 AM,1,7/25/2023 10:08:03 AM,48.77261133128,9.1646411957002,1020203,6236366,10,png,7/25/2023 8:12:35 AM,iOS,"iPhone13,3",D43B3807-2E62-4812-BC5D-5211BD9B7AAE,1,,,13,12,0,0.3,australia,695,695,Netti,410,39,3,75,0,6.75,0,0,https://eyeonwater.org/media/eyeonwater_upload/24532.png,?,0,1,,,64.377684542068,65.057091865465,,,,,,60.262096722394,13,61.369901441189,13,0,0,0,0,64.377684542068,12,65.057091865465,12,http://www.eyeonwater.org/media/eyeonwater_upload/24532.png,Netti
24531,1,7/25/2023 10:05:31 AM,1,7/25/2023 10:05:29 AM,48.7727114,9.165122,1020256,6236382,10,png,7/25/2023 8:10:02 AM,Android,SM-G991B,4c6e7ed3819a0f3b,0,,1,13,11,0,0.3,australia,794,794,fauserja,250,20,3,75,0,7,0,0,https://eyeonwater.org/media/eyeonwater_upload/24531.png,?,0,1,,,70.49144420814,71.481004466005,,,,,,67.779525435644,12,68.843328093985,11,0,0,0,0,70.49144420814,11,71.481004466005,11,http://www.eyeonwater.org/media/eyeonwater_upload/24531.png,fauserja
24530,1,7/25/2023 9:56:27 AM,1,7/25/2023 9:56:26 AM,48.7728477,9.1639082,1020121,6236405,10,png,7/25/2023 8:00:59 AM,Android,SM-G991B,4c6e7ed3819a0f3b,1,,,12,10,0,0,australia,794,794,fauserja,250,20,3,50,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/24530.png,?,0,1,,,,77.696104101343,,,,,,,0,78.002203957446,10,0,0,0,0,,0,77.696104101343,10,http://www.eyeonwater.org/media/eyeonwater_upload/24530.png,fauserja
24384,1,6/22/2023 9:52:46 AM,1,6/22/2023 9:52:45 AM,48.4758931,9.1829779,1022244,6186394,0,png,6/22/2023 7:57:11 AM,Android,MRD-LX1,3aa1a8ae49067b43,2,,,15,18,0,70,eowcolor,0,,,,,,50,24.4,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/24384.png,?,0,1,,,32.622788413833,35.943769061217,,,,,,30.65730861854,18,33.929713466305,18,0,0,0,0,32.622788413833,18,35.943769061217,17,http://www.eyeonwater.org/media/eyeonwater_upload/24384.png,
24383,1,6/22/2023 9:50:08 AM,1,6/22/2023 9:50:07 AM,48.4746423,9.1750127,1021357,6186184,0,png,6/22/2023 7:54:34 AM,Android,SM-A515F,6d037c03f2ba80f5,4,,,16,10,0,68,eowcolor,0,,,,,,25,24.5,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/24383.png,?,0,1,,,,82.171030810752,,,,,,,0,81.142447295746,10,0,0,0,0,,0,82.171030810752,10,http://www.eyeonwater.org/media/eyeonwater_upload/24383.png,
24382,1,6/22/2023 9:50:08 AM,1,6/22/2023 9:49:14 AM,48.4746423,9.1750127,1021357,6186184,0,png,6/22/2023 7:53:40 AM,Android,MRD-LX1,3aa1a8ae49067b43,1,,,16,15,0,70,eowcolor,0,,,,,,50,24.4,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/24382.png,?,0,1,,,45.352296777028,49.007370926637,,,,,,42.710251913371,16,46.425153247778,15,0,0,0,0,45.352296777028,15,49.007370926637,15,http://www.eyeonwater.org/media/eyeonwater_upload/24382.png,
24381,1,6/22/2023 9:48:55 AM,1,6/22/2023 9:48:53 AM,48.4770881,9.1858587,1022565,6186595,10,png,6/22/2023 7:53:23 AM,Android,Pixel 7 Pro,09cc2ae77d8b33d0,0,,,16,14,0,0.68,eowcolor,1190,1190,Tilo,60,1,1,0,24.4,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/24381.png,?,0,1,,,51.171229906622,52.80188351852,,,,,,49.095636195375,15,50.641965877731,14,0,0,0,0,51.171229906622,14,52.80188351852,14,http://www.eyeonwater.org/media/eyeonwater_upload/24381.png,Tilo
